Date,Japan,France,Usa,Colombia,Sweden,World
1/1/2001,126.912,59.267,283.96,38.378407,8.884193,6237.511475
1/2/2001,127.05,59.297,284.166,38.419624,8.885452,6244.283312
1/3/2001,126.98,59.327,284.38,38.456837,8.887136,6251.062501
1/4/2001,127.052,59.36,284.602,38.498055,8.888952,6257.84905
1/5/2001,127.011,59.394,284.834,38.538006,8.89164,6264.642967
1/6/2001,127.125,59.432,285.076,38.579777,8.894674,6271.44426
1/7/2001,127.149,59.469,285.324,38.63724,8.898554,6278.252937
1/8/2001,127.069,59.509,285.584,38.679543,8.902838,6285.069005
1/9/2001,127.131,59.547,285.842,38.721195,8.905622,6291.892474
1/10/2001,127.316,59.585,286.086,38.761047,8.908054,6298.723351
1/11/2001,127.396,59.623,286.315,38.801884,8.909157,6305.561643
1/12/2001,127.397,59.657,286.533,38.84117,8.909128,6312.40736
1/1/2002,127.261,59.686,286.739,38.8817,8.91091,6319.158424
1/2/2002,127.343,59.71,286.935,38.92207,8.912927,6325.916708
1/3/2002,127.272,59.737,287.131,38.958534,8.914336,6332.68222
1/4/2002,127.371,59.768,287.343,38.998917,8.917039,6339.454968
1/5/2002,127.35,59.802,287.571,39.038433,8.920705,6346.23496
1/6/2002,127.418,59.839,287.808,39.079685,8.924529,6353.022202
1/7/2002,127.445,59.875,288.051,39.13048,8.929219,6359.816703
1/8/2002,127.362,59.916,288.303,39.17251,8.933745,6366.618471
1/9/2002,127.405,59.957,288.554,39.2141,8.937119,6373.427513
1/10/2002,127.486,59.997,288.794,39.25412,8.939262,6380.243838
1/11/2002,127.527,60.035,289.012,39.295097,8.940369,6387.067453
1/12/2002,127.564,60.069,289.214,39.33472,8.940788,6393.898365
1/1/2003,127.4,60.102,289.412,39.375813,8.94196,6400.67976
1/2/2003,127.563,60.131,289.606,39.416515,8.943892,6407.468346
1/3/2003,127.468,60.161,289.809,39.453312,8.946304,6414.264133
1/4/2003,127.623,60.192,290.024,39.49418,8.949379,6421.067128
1/5/2003,127.672,60.226,290.25,39.533913,8.952605,6427.877338
1/6/2003,127.733,60.265,290.484,39.575417,8.956664,6434.69477
1/7/2003,127.718,60.301,290.726,39.611187,8.962106,6441.519434
1/8/2003,127.643,60.341,290.974,39.65276,8.966898,6448.351335
1/9/2003,127.645,60.365,291.222,39.69352,8.970956,6455.190483
1/10/2003,127.694,60.404,291.463,39.732933,8.973491,6462.036884
1/11/2003,127.704,60.441,291.677,39.773445,8.975199,6468.890546
1/12/2003,127.75,60.475,291.868,39.81246,8.97567,6475.751478
1/1/2004,127.603,60.505,292.046,39.85274,8.977418,6482.58045
1/2/2004,127.739,60.536,292.23,39.892876,8.979535,6489.416624
1/3/2004,127.675,60.568,292.434,39.93028,8.982226,6496.260007
1/4/2004,127.736,60.601,292.651,39.97036,8.985119,6503.110607
1/5/2004,127.654,60.637,292.872,40.00921,8.988186,6509.968431
1/6/2004,127.768,60.674,293.103,40.04918,8.992217,6516.833487
1/7/2004,127.761,60.715,293.35,40.08504,8.997335,6523.705782
1/8/2004,127.703,60.76,293.603,40.12476,9.002529,6530.585325
1/9/2004,127.73,60.803,293.857,40.164528,9.006405,6537.472122
1/10/2004,127.787,60.846,294.104,40.202496,9.008846,6544.366182
1/11/2004,127.819,60.887,294.337,40.241825,9.010591,6551.267511
