"Time","Region Code","Region","Total population (Both sexes)【person】","Annotation"
"Oct.1975","00000","Japan","111939643","“Population Census”, Statistics Bureau, Ministry of Internal Affairs and Communications."
"Nov.1975","00000","Japan","112041000",""
"Dec.1975","00000","Japan","112135000",""
"Jan.1976","00000","Japan","112175000",""
"Feb.1976","00000","Japan","112310000",""
"Mar.1976","00000","Japan","112373000",""
"Apr.1976","00000","Japan","112467000",""
"May 1976","00000","Japan","112553000",""
"Jun.1976","00000","Japan","112687000",""
"Jul.1976","00000","Japan","112775000",""
"Aug.1976","00000","Japan","112824000",""
"Sep.1976","00000","Japan","112987000",""
"Oct.1976","00000","Japan","113094000",""
"Nov.1976","00000","Japan","113193000",""
"Dec.1976","00000","Japan","113281000",""
"Jan.1977","00000","Japan","113310000",""
"Feb.1977","00000","Japan","113442000",""
"Mar.1977","00000","Japan","113497000",""
"Apr.1977","00000","Japan","113574000",""
"May 1977","00000","Japan","113645000",""
"Jun.1977","00000","Japan","113781000",""
"Jul.1977","00000","Japan","113872000",""
"Aug.1977","00000","Japan","113916000",""
"Sep.1977","00000","Japan","114069000",""
"Oct.1977","00000","Japan","114165000",""
"Nov.1977","00000","Japan","114267000",""
"Dec.1977","00000","Japan","114352000",""
"Jan.1978","00000","Japan","114376000",""
"Feb.1978","00000","Japan","114503000",""
"Mar.1978","00000","Japan","114555000",""
"Apr.1978","00000","Japan","114637000",""
"May 1978","00000","Japan","114704000",""
"Jun.1978","00000","Japan","114832000",""
"Jul.1978","00000","Japan","114913000",""
"Aug.1978","00000","Japan","114953000",""
"Sep.1978","00000","Japan","115096000",""
"Oct.1978","00000","Japan","115190000",""
"Nov.1978","00000","Japan","115277000",""
"Dec.1978","00000","Japan","115354000",""
"Jan.1979","00000","Japan","115378000",""
"Feb.1979","00000","Japan","115519000",""
"Mar.1979","00000","Japan","115564000",""
"Apr.1979","00000","Japan","115641000",""
"May 1979","00000","Japan","115691000",""
"Jun.1979","00000","Japan","115815000",""
"Jul.1979","00000","Japan","115890000",""
"Aug.1979","00000","Japan","115914000",""
"Sep.1979","00000","Japan","116064000",""
"Oct.1979","00000","Japan","116155000",""
"Nov.1979","00000","Japan","116257000",""
"Dec.1979","00000","Japan","116319000",""
"Jan.1980","00000","Japan","116332000",""
"Feb.1980","00000","Japan","116462000",""
"Mar.1980","00000","Japan","116500000",""
"Apr.1980","00000","Japan","116565000",""
"May 1980","00000","Japan","116627000",""
"Jun.1980","00000","Japan","116732000",""
"Jul.1980","00000","Japan","116807000",""
"Aug.1980","00000","Japan","116829000",""
"Sep.1980","00000","Japan","116970000",""
"Oct.1980","00000","Japan","117060396","“Population Census”, Statistics Bureau, Ministry of Internal Affairs and Communications."
"Nov.1980","00000","Japan","117136000",""
"Dec.1980","00000","Japan","117213000",""
"Jan.1981","00000","Japan","117201000",""
"Feb.1981","00000","Japan","117337000",""
"Mar.1981","00000","Japan","117365000",""
"Apr.1981","00000","Japan","117427000",""
"May 1981","00000","Japan","117493000",""
"Jun.1981","00000","Japan","117593000",""
"Jul.1981","00000","Japan","117661000",""
"Aug.1981","00000","Japan","117681000",""
"Sep.1981","00000","Japan","117815000",""
"Oct.1981","00000","Japan","117902000",""
"Nov.1981","00000","Japan","117964000",""
"Dec.1981","00000","Japan","118038000",""
"Jan.1982","00000","Japan","118048000",""
"Feb.1982","00000","Japan","118173000",""
"Mar.1982","00000","Japan","118188000",""
"Apr.1982","00000","Japan","118249000",""
"May 1982","00000","Japan","118303000",""
"Jun.1982","00000","Japan","118407000",""
"Jul.1982","00000","Japan","118480000",""
"Aug.1982","00000","Japan","118504000",""
"Sep.1982","00000","Japan","118647000",""
"Oct.1982","00000","Japan","118728000",""
"Nov.1982","00000","Japan","118810000",""
"Dec.1982","00000","Japan","118877000",""
"Jan.1983","00000","Japan","118885000",""
"Feb.1983","00000","Japan","119004000",""
"Mar.1983","00000","Japan","119011000",""
"Apr.1983","00000","Japan","119078000",""
"May 1983","00000","Japan","119131000",""
"Jun.1983","00000","Japan","119240000",""
"Jul.1983","00000","Japan","119307000",""
"Aug.1983","00000","Japan","119325000",""
"Sep.1983","00000","Japan","119456000",""
"Oct.1983","00000","Japan","119536000",""
"Nov.1983","00000","Japan","119608000",""
"Dec.1983","00000","Japan","119669000",""
"Jan.1984","00000","Japan","119672000",""
"Feb.1984","00000","Japan","119797000",""
"Mar.1984","00000","Japan","119803000",""
"Apr.1984","00000","Japan","119869000",""
"May 1984","00000","Japan","119916000",""
"Jun.1984","00000","Japan","120021000",""
"Jul.1984","00000","Japan","120083000",""
"Aug.1984","00000","Japan","120104000",""
"Sep.1984","00000","Japan","120220000",""
"Oct.1984","00000","Japan","120305000",""
"Nov.1984","00000","Japan","120371000",""
"Dec.1984","00000","Japan","120441000",""
"Jan.1985","00000","Japan","120429000",""
"Feb.1985","00000","Japan","120557000",""
"Mar.1985","00000","Japan","120566000",""
"Apr.1985","00000","Japan","120628000",""
"May 1985","00000","Japan","120678000",""
"Jun.1985","00000","Japan","120781000",""
"Jul.1985","00000","Japan","120837000",""
"Aug.1985","00000","Japan","120844000",""
"Sep.1985","00000","Japan","120956000",""
"Oct.1985","00000","Japan","121048923","“Population Census”, Statistics Bureau, Ministry of Internal Affairs and Communications."
"Nov.1985","00000","Japan","121112000",""
"Dec.1985","00000","Japan","121168000",""
"Jan.1986","00000","Japan","121121000",""
"Feb.1986","00000","Japan","121244000",""
"Mar.1986","00000","Japan","121232000",""
"Apr.1986","00000","Japan","121310000",""
"May 1986","00000","Japan","121348000",""
"Jun.1986","00000","Japan","121431000",""
"Jul.1986","00000","Japan","121482000",""
"Aug.1986","00000","Japan","121467000",""
"Sep.1986","00000","Japan","121577000",""
"Oct.1986","00000","Japan","121660000",""
"Nov.1986","00000","Japan","121704000",""
"Dec.1986","00000","Japan","121771000",""
"Jan.1987","00000","Japan","121718000",""
"Feb.1987","00000","Japan","121865000",""
"Mar.1987","00000","Japan","121825000",""
"Apr.1987","00000","Japan","121891000",""
"May 1987","00000","Japan","121941000",""
"Jun.1987","00000","Japan","122033000",""
"Jul.1987","00000","Japan","122069000",""
"Aug.1987","00000","Japan","122017000",""
"Sep.1987","00000","Japan","122153000",""
"Oct.1987","00000","Japan","122239000",""
"Nov.1987","00000","Japan","122275000",""
"Dec.1987","00000","Japan","122342000",""
"Jan.1988","00000","Japan","122277000",""
"Feb.1988","00000","Japan","122403000",""
"Mar.1988","00000","Japan","122355000",""
"Apr.1988","00000","Japan","122427000",""
"May 1988","00000","Japan","122407000",""
