"month","00 Sweden"
"2000M01",8860180
"2000M02",8860547
"2000M03",8862037
"2000M04",8863675
"2000M05",8865918
"2000M06",8869255
"2000M07",8873307
"2000M08",8876611
"2000M09",8878828
"2000M10",8880532
"2000M11",8882007
"2000M12",8882792
"2001M01",8884193
"2001M02",8885452
"2001M03",8887136
"2001M04",8888952
"2001M05",8891640
"2001M06",8894674
"2001M07",8898554
"2001M08",8902838
"2001M09",8905622
"2001M10",8908054
"2001M11",8909157
"2001M12",8909128
"2002M01",8910910
"2002M02",8912927
"2002M03",8914336
"2002M04",8917039
"2002M05",8920705
"2002M06",8924529
"2002M07",8929219
"2002M08",8933745
"2002M09",8937119
"2002M10",8939262
"2002M11",8940369
"2002M12",8940788
"2003M01",8941960
"2003M02",8943892
"2003M03",8946304
"2003M04",8949379
"2003M05",8952605
"2003M06",8956664
"2003M07",8962106
"2003M08",8966898
"2003M09",8970956
"2003M10",8973491
"2003M11",8975199
"2003M12",8975670
"2004M01",8977418
"2004M02",8979535
"2004M03",8982226
"2004M04",8985119
"2004M05",8988186
"2004M06",8992217
"2004M07",8997335
"2004M08",9002529
"2004M09",9006405
"2004M10",9008846
"2004M11",9010591
"2004M12",9011392
"2005M01",9013109
"2005M02",9014160
"2005M03",9014921
"2005M04",9017324
"2005M05",9020925
"2005M06",9024186
"2005M07",9029002
"2005M08",9034837
"2005M09",9039143
"2005M10",9042568
"2005M11",9044789
"2005M12",9047752
"2006M01",9053340
"2006M02",9060430
"2006M03",9067049
"2006M04",9072269
"2006M05",9077628
"2006M06",9082995
"2006M07",9090113
"2006M08",9097948
"2006M09",9103551
"2006M10",9107648
"2006M11",9110972
"2006M12",9113257
"2007M01",9117712
"2007M02",9122269
"2007M03",9127058
"2007M04",9131425
"2007M05",9136889
"2007M06",9142817
"2007M07",9150508
"2007M08",9160182
"2007M09",9166827
"2007M10",9174082
"2007M11",9179731
"2007M12",9182927
"2008M01",9187630
"2008M02",9192088
"2008M03",9196227
"2008M04",9201650
"2008M05",9208034
"2008M06",9215021
"2008M07",9223766
"2008M08",9234209
"2008M09",9242595
"2008M10",9248805
"2008M11",9253675
"2008M12",9256347
"2009M01",9259828
"2009M02",9263872
"2009M03",9269986
"2009M04",9276509
"2009M05",9283722
"2009M06",9292359
"2009M07",9302133
"2009M08",9316256
"2009M09",9325429
"2009M10",9331523
"2009M11",9336487
"2009M12",9340682
"2010M01",9345135
"2010M02",9349059
"2010M03",9354462
"2010M04",9359742
"2010M05",9366092
"2010M06",9373379
"2010M07",9380437
"2010M08",9393648
"2010M09",9401925
"2010M10",9408028
"2010M11",9412851
"2010M12",9415570
"2011M01",9418732
"2011M02",9422661
"2011M03",9428054
"2011M04",9433875
"2011M05",9440588
"2011M06",9446812
"2011M07",9455134
"2011M08",9464486
"2011M09",9471174
"2011M10",9475954
"2011M11",9480205
"2011M12",9482855
"2012M01",9486591
"2012M02",9490683
"2012M03",9495113
"2012M04",9500478
"2012M05",9507324
"2012M06",9514406
"2012M07",9522998
"2012M08",9532634
"2012M09",9540065
"2012M10",9546217
"2012M11",9551781
"2012M12",9555893
"2013M01",9561254
"2013M02",9566945
"2013M03",9573466
"2013M04",9580424
"2013M05",9588569
"2013M06",9596436
"2013M07",9606522
"2013M08",9616429
"2013M09",9625444
"2013M10",9633490
"2013M11",9639741
"2013M12",9644864
"2014M01",9651531
"2014M02",9658301
"2014M03",9666871
"2014M04",9675885
"2014M05",9684858
"2014M06",9694194
"2014M07",9705005
"2014M08",9716962
"2014M09",9728498
"2014M10",9737521
"2014M11",9743087
"2014M12",9747355
"2015M01",9753627
"2015M02",9760142
"2015M03",9767357
"2015M04",9775572
"2015M05",9784445
"2015M06",9793172
"2015M07",9804082
"2015M08",9816666
"2015M09",9828655
"2015M10",9838480
"2015M11",9845155
"2015M12",9851017
"2016M01",9858794
"2016M02",9866670
"2016M03",9875378
"2016M04",9884285
"2016M05",9894888
"2016M06",9906331
"2016M07",9920881
"2016M08",9938648
"2016M09",9954420
"2016M10",9967274
"2016M11",9981799
"2016M12",9995153
"2017M01",10005673
"2017M02",10014873
"2017M03",10023893
"2017M04",10032357
"2017M05",10042928
"2017M06",10053061
"2017M07",10065389
"2017M08",10081396
"2017M09",10093734
"2017M10",10103843
"2017M11",10112669
"2017M12",10120242
"2018M01",10128320
"2018M02",10135303
"2018M03",10142686
"2018M04",10151588
"2018M05",10161797
"2018M06",10171524
"2018M07",10182291
